,x1,x10,x2,x3,x4,x5,x6,x7,x8,x9,y
221,-288,177,359,-457,-442,339,-182,-258,-463,-453,321.34106721678876
222,425,55,-567,-450,108,195,-553,-435,-464,-348,398.1873418549271
223,-123,-276,-10,-51,106,-339,497,551,-189,434,249.72510268509137
224,373,-468,-160,-280,430,294,152,43,-422,160,241.5312670683047
225,294,82,320,138,336,1,368,-120,198,-579,213.94261115080013
226,-302,295,65,400,-544,-423,-103,-515,393,457,365.11276208691675
227,497,306,-232,484,87,220,-362,587,537,412,405.6165080643986
228,-559,227,208,573,-38,-522,-290,3,-100,-485,335.72106342626813
229,215,-463,-436,427,-343,-6,-189,41,325,-422,268.95379162428316
230,-518,268,-271,-205,-156,-178,-263,177,82,13,155.72750348186605
231,324,-431,347,-585,-9,413,370,-497,261,-400,385.01283181968324
232,59,517,-281,-451,-310,502,-314,560,157,-175,343.17547093217246
233,-133,164,-512,-22,306,-171,524,-495,-542,-75,313.26960166956854
234,-152,-67,532,539,158,-289,-193,498,565,522,397.63442238614755
235,-121,191,-121,121,561,591,-337,-163,-79,-67,224.8157393833392
236,-431,23,237,-501,-598,-586,-85,276,355,37,352.27964678783724
237,-586,79,-248,239,-521,-120,-200,-586,-181,-64,294.589108541286
238,272,-118,136,150,525,468,-235,-446,-572,424,347.1635236832605
239,-107,387,-127,-362,78,466,-6,22,-303,-27,157.1714013176813
240,146,333,-117,407,475,40,-31,-563,-299,579,321.33497788648117
241,294,556,-1,558,430,-445,-400,-579,262,-326,441.0057338502469
242,-104,-190,-245,-214,-190,-20,150,505,-543,-327,218.13744314529325
243,-352,408,303,438,-495,-309,144,-113,-11,377,273.5689773268176
244,-220,-46,542,592,274,125,-414,-522,-43,78,310.2830896294577
245,282,236,-581,455,89,-163,-195,377,405,-284,285.7780460715615
246,-372,387,-377,297,-216,189,393,-354,-281,-158,247.14118604189431
247,402,348,64,524,77,-229,456,25,-336,-466,290.59441423944907
248,186,-363,-46,-497,-382,188,483,157,214,592,313.73198608271355
249,453,-125,-371,-352,299,290,301,-402,20,24,228.2652608544769
250,382,-5,-415,-444,260,-19,-122,354,-116,364,218.35575520339103
251,225,-283,-490,-362,-378,-594,140,-27,-510,427,366.0840139721754
252,234,-567,291,141,272,162,-80,476,163,181,219.33523618595086
253,2,223,518,482,-473,-201,-362,-209,18,-455,300.1468649534781
254,-140,-574,-511,172,-195,-133,-519,-100,428,99,292.9601502216244
255,-135,-553,292,-412,-347,-51,-203,-415,82,-307,255.121153324297
256,-18,553,91,-239,100,252,-349,-470,349,-336,256.6095456803514
257,-555,461,230,-252,102,171,493,-113,196,-382,280.18765303211336
258,-233,161,388,208,-144,382,-153,41,332,-551,220.89401602561514
259,-159,296,549,-218,424,-479,-578,-499,356,227,409.0996685516979
260,265,-317,-125,118,-295,487,432,340,-336,226,248.74324828266032
261,-332,135,-341,355,128,-497,505,-447,-46,351,304.5785326215063
262,145,198,441,456,1,134,50,5,10,565,201.61232053098612
263,568,2,386,349,-452,66,440,-249,-51,136,270.6738779777434
264,-577,478,-23,484,-191,-423,-591,338,-107,-240,387.0496563683781
265,-128,-120,346,-552,593,-199,-52,-502,-584,98,363.9564747609584
266,39,327,-517,-34,71,-573,-419,194,511,420,341.24574656259966
267,-234,-184,555,362,-267,441,-281,328,565,404,366.60925000514305
268,-544,518,-393,489,132,319,70,262,554,308,389.08518333882796
269,498,-332,-55,384,255,295,198,-370,122,-108,216.85274920666686
270,146,344,-191,-514,-404,182,103,417,16,-154,212.28501809906228
271,432,543,-316,-494,-97,-58,-97,514,-512,555,421.4778601674687
272,-454,221,492,511,328,24,44,331,-55,500,308.7042908593865
273,-599,458,-162,-229,286,-21,414,-592,-78,167,322.32907342349256
274,-465,-436,-401,-388,94,330,-463,-270,316,524,375.27671986292717
275,-366,234,-550,0,-337,358,-68,162,-350,-572,304.3742487259137
276,-489,40,-307,-141,15,35,293,272,548,-250,220.73065931176686
277,43,-18,552,-183,27,206,-80,-2,302,-312,145.61159342913163
278,-534,-69,-509,8,-249,48,-503,-154,590,46,311.07706718436333
279,584,195,398,276,-385,-597,-129,-271,27,-183,311.651121044896
280,439,-11,237,-54,148,-299,232,-461,31,-326,185.2034897649138
281,-66,104,-194,536,-372,256,-206,-37,-34,-197,157.94850843658148
282,-120,-240,-164,-187,402,571,230,475,473,232,295.43657596901585
283,382,-299,-157,-342,38,237,-149,154,-434,133,172.6307066796373
284,-93,446,144,-86,175,389,-320,437,306,-94,204.37127527467317
285,-312,9,386,-453,-551,271,567,514,500,429,463.1003661088896
286,-495,-156,235,-229,146,-501,141,126,-588,-382,295.19391658318654
287,235,220,25,454,218,225,-265,329,-443,-359,229.02919825722586
288,248,449,-313,-519,-63,-266,462,-303,342,-431,329.2846448443597
289,338,-112,374,-498,-11,-332,-586,-471,-349,79,330.57250817320687
290,377,374,-360,434,232,-292,-477,-422,584,-387,409.8408279353423
291,-559,482,-554,-472,275,-412,585,398,-325,295,504.28734084260515
292,483,-132,-359,-454,-18,-552,-349,504,213,-230,342.20687836283213
293,-299,-543,-298,565,457,-586,-388,-544,423,-421,537.7938769423821
294,543,308,-188,16,-570,-291,-58,-464,404,392,343.6082867411261
295,-251,532,-215,-117,78,-472,-59,485,534,-378,326.38826282997604
296,341,-347,-591,246,518,492,-560,533,398,549,554.5849109247032
297,7,-100,-364,-478,498,-8,33,304,373,-559,292.0216419298145
298,-399,-528,279,69,-25,-122,442,537,403,-97,298.9090551217139
299,291,-443,-484,-571,316,513,77,15,-260,323,346.5599885117742
300,-144,49,387,-528,-72,-290,-579,-504,300,376,341.4152933543365
301,254,-14,-313,-30,194,195,-587,378,310,271,225.05896602740066
302,165,126,224,-5,129,493,379,168,-364,547,240.14009936792144
303,290,-531,-284,-576,93,42,-7,-582,22,368,316.8922572804578
304,-546,196,13,-70,-536,-433,60,-217,250,52,234.07400380634695
305,-142,-274,-416,350,-159,-208,-23,408,-140,226,175.2466879475767
306,-401,-300,-589,-273,-598,-562,581,35,-58,593,510.87449244266105
307,199,277,-49,-491,-251,-12,6,594,-352,-257,242.4494401464047
308,-201,-566,-204,68,451,182,-194,384,-112,-534,282.5777941315512
309,493,-465,594,-137,-129,500,-561,-285,-120,251,393.71686470967074
310,-400,377,368,116,540,-27,474,-491,-175,299,333.25770381139006
311,360,-369,-420,-560,60,64,-593,22,334,-60,308.68668169510283
312,-573,-110,-182,107,-9,-426,-319,511,-507,-466,351.9114755021973
313,199,-198,-68,-146,-441,-589,-96,527,497,-353,327.17804564198934
314,-434,-313,485,-24,-558,-515,533,-93,346,134,383.28043724040003
315,500,-497,-451,-305,-451,8,-140,468,585,-532,466.1918681358978
316,117,-231,478,-288,-168,113,-175,155,157,-384,162.56604862881937
317,-377,150,-95,223,499,-92,-307,-59,-105,-509,213.10823965708337
318,-107,-244,68,356,-5,94,497,1,591,52,203.550253352409
319,-333,15,307,-411,-300,518,-272,-437,413,-385,330.0887408763488
320,419,-63,-325,484,2,-72,-130,370,-518,542,311.1217910531145
321,465,425,-548,-575,343,74,-206,-191,523,290,397.85968269387934
322,-210,-19,-421,282,-596,-523,240,-176,-203,11,266.0091442029264
323,420,78,-473,-574,-439,-317,-478,-162,261,-184,347.40099842249487
324,283,-256,-21,-292,420,2,1,449,-452,568,285.1376780360107
325,294,310,416,-229,315,-108,552,424,-209,474,318.9404982210192
326,396,510,-2,-553,-229,-572,202,-177,-475,534,422.31703220486094
327,72,-453,-114,-216,-66,-382,-382,581,262,-150,249.73850723924502
328,199,345,-519,-533,180,-386,262,-22,447,566,371.66306611277884
329,-551,-59,128,-513,-543,-38,175,116,0,-184,241.21564375616197
330,94,-181,-403,540,430,555,-152,290,-140,-260,296.7252490458755
331,-233,431,565,477,104,-221,-531,472,-533,-417,453.2945132788307
332,-180,-460,40,-430,-234,-123,100,-288,59,14,150.25143524683196
333,-476,-22,566,295,242,403,312,554,-36,-165,323.048750262755
334,-592,-435,-334,-237,402,-35,338,-97,-322,358,307.4281852551369
335,-368,389,-401,-565,-392,564,-228,-16,225,468,391.11478009897286
336,439,-108,439,591,200,531,-117,351,-543,233,389.57852876649946
337,10,192,2,132,258,-359,-557,-554,-215,94,231.52161831997674
338,462,-564,461,-198,-455,403,592,236,347,495,482.07283357585715
339,148,129,-514,263,291,-451,314,-313,-8,-63,216.17127832087826
340,367,396,-474,440,-513,-340,-503,-595,291,510,511.0950326148535
341,-63,405,211,105,314,-216,138,-261,-144,-221,132.38319363462634
342,-388,423,486,-159,-315,353,101,5,329,383,270.98506697273046
343,-179,334,103,-357,-524,-43,151,499,88,31,210.6401357147087
344,-231,73,-399,-113,25,280,-1,458,-443,134,184.42796031369622
345,-434,455,572,211,-137,62,197,-529,455,-121,333.5290917510158
346,-257,154,-415,-386,543,174,575,-289,407,407,371.38868944909007
347,274,37,-400,593,336,-26,-436,225,-567,452,368.0534525877872
348,560,323,-140,-566,221,113,-480,-27,145,4,268.9162773961113
349,205,-213,-251,-442,-447,487,42,63,252,429,260.0037494043926
350,-6,450,-42,425,-239,289,-13,209,-426,415,231.74442594848753
351,-180,-531,548,295,534,462,153,-569,587,-194,483.41709733988887
352,533,-377,-280,324,-491,-349,-191,575,-17,315,360.7688312939477
353,513,-179,365,108,-64,467,-600,-505,-594,159,414.8409048859695
354,-380,540,207,468,-53,-491,-31,413,537,285,371.7197813717655
355,524,336,-540,44,433,-47,-113,366,-371,-101,292.3297737428508
356,-511,-74,142,-230,317,-218,512,-305,11,422,256.26225515576573
357,-117,-401,446,46,-588,-457,-418,-373,-368,-339,374.5777373344485
358,-269,-129,-465,-176,-44,-236,586,-37,-564,274,283.94329513780684
359,401,55,-556,-395,-485,-337,436,255,-88,-538,383.52008465455077
360,388,156,182,-232,263,504,148,112,348,225,198.79759731859724
361,53,-113,-526,221,-91,-26,24,-568,468,45,224.57502083015575
362,-214,227,138,-414,-179,-551,-521,-243,-551,-75,316.7831711229417
363,549,62,579,-504,-482,-541,491,-148,-23,-492,482.28079923095993
364,90,385,-308,174,215,334,-300,262,120,-89,156.0527532605459
365,429,15,185,365,570,587,-505,408,-93,-238,377.9917572225721
366,-495,-159,594,-367,-104,-407,-548,-509,469,-262,446.57261579732017
367,-7,-360,32,-57,233,498,61,221,224,579,219.54712158257968
368,-374,-19,-505,238,-320,-47,174,-455,-113,144,207.84699932690404
369,-261,-111,109,-484,210,-269,1,-575,-329,-564,301.0093412470191
370,37,180,82,-318,-295,72,-101,13,103,7,64.71395458392077
371,18,-324,372,523,247,185,-6,67,31,395,194.48848928720332
372,124,-489,553,102,550,293,431,-108,-333,118,321.3242484143995
373,24,346,-56,-125,466,-280,24,-119,-168,344,149.97656492214287
374,444,490,467,293,428,-295,97,273,413,549,392.8255561870324
375,-348,450,-76,-19,52,499,-117,435,-596,-285,306.20225426282093
376,-363,-20,248,-260,-13,150,347,26,75,334,131.55069820532884
377,238,440,494,223,16,362,-365,57,-5,267,221.7741481314351
378,-253,-32,-47,244,226,370,-423,438,166,450,229.89390231731034
379,98,5,529,-518,329,169,-555,567,-414,317,399.99898492060674
380,507,-384,195,565,-291,356,517,485,200,-105,382.67741360269207
381,-164,478,-193,291,-100,378,-99,273,83,110,159.37971575320262
382,-316,-153,-301,535,-147,170,-320,-546,-295,116,263.8987121903063
383,402,81,-286,-206,467,-20,534,-368,352,-309,288.72116884410093
384,487,100,-398,-220,-83,116,584,163,-199,238,235.54687612951068
385,585,342,-240,462,-157,-500,-197,-401,238,118,319.7666343582402
386,457,382,569,-94,-379,431,411,16,504,441,409.6111790828338
387,33,-415,-34,306,-35,-459,325,-19,363,490,240.46689979617554
388,-526,-210,-457,-117,12,398,59,112,459,-397,272.5442579516872
389,-256,461,-446,596,316,583,-124,44,264,325,367.1417543709908
390,-440,280,-300,416,-277,334,-263,-327,41,-513,292.0722101400785
391,12,422,-81,-383,-62,-412,-173,-32,143,486,199.1660656395431
392,51,-473,-270,238,-24,-195,-146,319,264,434,194.88301702021883
393,-286,-75,-259,-359,329,-445,-582,211,-327,158,277.1982480079263
394,-327,82,255,19,-528,-170,401,-398,-416,443,294.80491180134214
395,364,401,-472,-379,460,179,25,484,378,578,404.80320365590904
396,-516,478,285,214,517,-241,23,-510,-482,298,383.2344470409365
397,-594,-487,-188,237,-370,409,-218,-329,148,591,379.16469101540764
398,-98,519,477,551,368,25,-525,-582,-264,-435,455.8507279491465
